report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed
16093,03-11-2021 02:00,11-01-2021 12:00,01-11-2021 22:12,Ahmedabad,408,DRUG OFFENSE,63,F,Other,Other Crime,17,Yes,27-11-2021 02:00
16097,04-11-2021 03:00,11-01-2021 16:00,02-11-2021 06:18,Thane,124,FIREARM OFFENSE,63,M,Knife,Fire Accident,15,Yes,03-01-2022 03:00
16102,04-11-2021 17:00,11-01-2021 21:00,02-11-2021 10:22,Surat,281,HOMICIDE,46,F,Poison,Other Crime,5,Yes,25-09-2023 17:00
16103,04-11-2021 01:00,11-01-2021 22:00,02-11-2021 06:09,Delhi,394,KIDNAPPING,49,F,Explosives,Other Crime,2,Yes,26-11-2021 01:00
16104,04-11-2021 16:00,11-01-2021 23:00,02-11-2021 19:39,Indore,209,ROBBERY,44,F,Poison,Violent Crime,15,Yes,12-03-2022 16:00
16105,04-11-2021 05:00,11-02-2021 00:00,02-11-2021 19:30,Patna,235,ILLEGAL POSSESSION,23,F,Knife,Other Crime,16,Yes,20-01-2022 05:00
16106,02-11-2021 05:00,11-02-2021 01:00,02-11-2021 15:31,Bangalore,329,FRAUD,31,F,Poison,Other Crime,8,Yes,22-12-2021 05:00
16110,04-11-2021 04:00,11-02-2021 05:00,03-11-2021 04:42,Bangalore,173,VEHICLE - STOLEN,25,M,Other,Violent Crime,16,Yes,28-01-2022 04:00
16111,04-11-2021 23:00,11-02-2021 06:00,03-11-2021 04:35,Agra,161,IDENTITY THEFT,13,M,Explosives,Violent Crime,14,Yes,27-11-2021 23:00
16112,03-11-2021 10:00,11-02-2021 07:00,03-11-2021 04:37,Kanpur,295,TRAFFIC VIOLATION,64,F,Firearm,Traffic Fatality,4,Yes,30-11-2021 10:00
16115,02-11-2021 18:00,11-02-2021 10:00,02-11-2021 16:44,Chennai,592,DOMESTIC VIOLENCE,36,M,Firearm,Violent Crime,2,Yes,28-11-2021 18:00
16117,04-11-2021 19:00,11-02-2021 12:00,03-11-2021 01:32,Jaipur,193,SEXUAL ASSAULT,33,F,Firearm,Violent Crime,8,Yes,06-10-2023 19:00
16119,03-11-2021 16:00,11-02-2021 14:00,02-11-2021 19:55,Kolkata,243,ARSON,79,F,Poison,Fire Accident,5,Yes,07-01-2022 16:00
16122,03-11-2021 12:00,11-02-2021 17:00,03-11-2021 16:39,Bangalore,586,EXTORTION,55,F,Knife,Other Crime,8,Yes,15-12-2021 12:00
16124,03-11-2021 14:00,11-02-2021 19:00,03-11-2021 17:15,Nagpur,438,BURGLARY,72,F,Poison,Other Crime,13,Yes,03-01-2022 14:00
16128,04-11-2021 16:00,11-02-2021 23:00,03-11-2021 16:09,Faridabad,365,DOMESTIC VIOLENCE,71,F,Knife,Violent Crime,6,Yes,15-11-2021 16:00
16130,03-11-2021 23:00,11-03-2021 01:00,04-11-2021 00:46,Pune,556,VEHICLE - STOLEN,22,F,Poison,Violent Crime,4,Yes,07-12-2021 23:00
16132,03-11-2021 22:00,11-03-2021 03:00,03-11-2021 09:54,Bangalore,114,ROBBERY,74,F,Firearm,Violent Crime,14,Yes,28-04-2022 22:00
16136,05-11-2021 04:00,11-03-2021 07:00,03-11-2021 08:44,Jaipur,435,TRAFFIC VIOLATION,67,F,Explosives,Traffic Fatality,16,Yes,18-11-2021 04:00
16137,05-11-2021 17:00,11-03-2021 08:00,04-11-2021 01:36,Ahmedabad,399,ILLEGAL POSSESSION,28,F,Blunt Object,Other Crime,4,Yes,20-11-2021 17:00
16140,05-11-2021 09:00,11-03-2021 11:00,04-11-2021 09:27,Nashik,311,BURGLARY,67,F,Other,Other Crime,17,Yes,28-04-2022 09:00
16141,05-11-2021 02:00,11-03-2021 12:00,03-11-2021 12:42,Kolkata,232,BURGLARY,78,F,Poison,Other Crime,18,Yes,12-01-2022 02:00
16143,03-11-2021 22:00,11-03-2021 14:00,04-11-2021 12:25,Bhopal,310,CYBERCRIME,28,F,Explosives,Other Crime,19,Yes,28-01-2022 22:00
16144,04-11-2021 21:00,11-03-2021 15:00,03-11-2021 17:10,Thane,426,ASSAULT,72,M,Knife,Violent Crime,9,Yes,08-12-2021 21:00
16145,06-11-2021 03:00,11-03-2021 16:00,03-11-2021 17:16,Delhi,378,KIDNAPPING,31,M,Explosives,Other Crime,5,Yes,27-12-2021 03:00
16146,06-11-2021 16:00,11-03-2021 17:00,04-11-2021 03:22,Mumbai,143,IDENTITY THEFT,78,F,Firearm,Violent Crime,13,Yes,23-12-2021 16:00
16147,06-11-2021 00:00,11-03-2021 18:00,03-11-2021 22:34,Pune,127,DOMESTIC VIOLENCE,15,M,Blunt Object,Violent Crime,14,Yes,19-01-2022 00:00
16148,06-11-2021 15:00,11-03-2021 19:00,04-11-2021 02:22,Bangalore,436,ILLEGAL POSSESSION,40,F,Poison,Other Crime,5,Yes,23-11-2021 15:00
16152,06-11-2021 11:00,11-03-2021 23:00,04-11-2021 09:08,Meerut,247,BURGLARY,66,F,Knife,Other Crime,17,Yes,04-04-2022 11:00
16153,06-11-2021 08:00,11-04-2021 00:00,04-11-2021 19:41,Ahmedabad,265,ROBBERY,51,F,Other,Violent Crime,16,Yes,17-04-2022 08:00
16162,05-11-2021 13:00,11-04-2021 09:00,04-11-2021 12:49,Kolkata,178,IDENTITY THEFT,24,F,Other,Violent Crime,16,Yes,20-11-2021 13:00
16164,05-11-2021 14:00,11-04-2021 11:00,04-11-2021 12:14,Mumbai,208,SHOPLIFTING,48,F,Knife,Other Crime,18,Yes,08-12-2021 14:00
16166,05-11-2021 14:00,11-04-2021 13:00,04-11-2021 23:36,Ghaziabad,407,CYBERCRIME,20,F,Explosives,Other Crime,10,Yes,19-11-2021 14:00
16168,05-11-2021 16:00,11-04-2021 15:00,04-11-2021 17:40,Delhi,278,ARSON,57,F,Poison,Fire Accident,1,Yes,25-01-2022 16:00
16174,06-11-2021 12:00,11-04-2021 21:00,05-11-2021 06:02,Agra,519,ILLEGAL POSSESSION,13,F,Other,Other Crime,12,Yes,16-01-2022 12:00
16176,07-11-2021 01:00,11-04-2021 23:00,05-11-2021 16:51,Nashik,265,ILLEGAL POSSESSION,48,M,Knife,Other Crime,12,Yes,20-12-2021 01:00
16183,06-11-2021 23:00,11-05-2021 06:00,05-11-2021 13:28,Bangalore,243,KIDNAPPING,39,F,Blunt Object,Other Crime,13,Yes,31-01-2022 23:00
16187,07-11-2021 22:00,11-05-2021 10:00,06-11-2021 07:08,Bangalore,501,BURGLARY,64,F,Firearm,Other Crime,12,Yes,07-03-2022 22:00
16190,06-11-2021 11:00,11-05-2021 13:00,06-11-2021 10:55,Visakhapatnam,172,EXTORTION,61,F,Poison,Other Crime,4,Yes,21-12-2021 11:00
16193,06-11-2021 12:00,11-05-2021 16:00,06-11-2021 14:36,Kolkata,175,FIREARM OFFENSE,75,F,Explosives,Fire Accident,10,Yes,22-01-2022 12:00
16195,08-11-2021 08:00,11-05-2021 18:00,06-11-2021 14:43,Mumbai,100,ROBBERY,13,F,Blunt Object,Violent Crime,3,Yes,31-01-2022 08:00
16196,07-11-2021 08:00,11-05-2021 19:00,06-11-2021 18:02,Pune,452,BURGLARY,28,F,Poison,Other Crime,19,Yes,15-02-2022 08:00
16198,07-11-2021 15:00,11-05-2021 21:00,06-11-2021 15:49,Mumbai,187,VANDALISM,24,M,Other,Other Crime,16,Yes,05-12-2021 15:00
16200,07-11-2021 09:00,11-05-2021 23:00,05-11-2021 23:27,Chennai,219,HOMICIDE,19,F,Other,Other Crime,14,Yes,27-02-2023 09:00
16203,06-11-2021 21:00,11-06-2021 02:00,06-11-2021 17:19,Delhi,287,SHOPLIFTING,45,M,Blunt Object,Other Crime,11,Yes,10-12-2021 21:00
16208,06-11-2021 18:00,11-06-2021 07:00,06-11-2021 17:34,Thane,262,CYBERCRIME,33,F,Other,Other Crime,6,Yes,17-01-2022 18:00
16211,08-11-2021 10:00,11-06-2021 10:00,06-11-2021 22:53,Mumbai,468,CYBERCRIME,12,F,Blunt Object,Other Crime,13,Yes,01-01-2022 10:00
16218,07-11-2021 02:00,11-06-2021 17:00,06-11-2021 17:15,Delhi,380,CYBERCRIME,58,F,Other,Other Crime,5,Yes,11-12-2021 02:00
16222,07-11-2021 17:00,11-06-2021 21:00,07-11-2021 01:35,Mumbai,124,VEHICLE - STOLEN,44,F,Explosives,Violent Crime,1,Yes,27-12-2021 17:00
16223,07-11-2021 01:00,11-06-2021 22:00,07-11-2021 13:28,Delhi,538,ILLEGAL POSSESSION,39,F,Other,Other Crime,1,Yes,07-01-2022 01:00
16228,09-11-2021 02:00,11-07-2021 03:00,07-11-2021 08:55,Chennai,503,ARSON,43,F,Other,Fire Accident,18,Yes,22-12-2021 02:00
16229,09-11-2021 17:00,11-07-2021 04:00,08-11-2021 02:21,Delhi,348,DOMESTIC VIOLENCE,75,F,Blunt Object,Violent Crime,12,Yes,19-11-2021 17:00
16234,09-11-2021 17:00,11-07-2021 09:00,07-11-2021 16:14,Kolkata,534,DOMESTIC VIOLENCE,57,F,Other,Violent Crime,15,Yes,09-01-2022 17:00
16237,07-11-2021 21:00,11-07-2021 12:00,07-11-2021 18:39,Thane,216,ILLEGAL POSSESSION,56,M,Other,Other Crime,13,Yes,02-02-2022 21:00
16239,07-11-2021 20:00,11-07-2021 14:00,08-11-2021 01:02,Chennai,371,ILLEGAL POSSESSION,41,M,Other,Other Crime,4,Yes,07-01-2022 20:00
16241,07-11-2021 21:00,11-07-2021 16:00,08-11-2021 02:37,Bangalore,508,HOMICIDE,68,F,Poison,Other Crime,14,Yes,01-08-2023 21:00
16242,08-11-2021 18:00,11-07-2021 17:00,08-11-2021 13:13,Hyderabad,202,DRUG OFFENSE,66,M,Other,Other Crime,15,Yes,29-01-2022 18:00
16245,08-11-2021 10:00,11-07-2021 20:00,08-11-2021 17:35,Kanpur,577,FRAUD,63,F,Knife,Other Crime,17,Yes,17-11-2021 10:00
16246,09-11-2021 11:00,11-07-2021 21:00,07-11-2021 23:36,Bhopal,349,SHOPLIFTING,65,M,Explosives,Other Crime,19,Yes,13-12-2021 11:00
16247,10-11-2021 13:00,11-07-2021 22:00,08-11-2021 04:52,Kolkata,548,SHOPLIFTING,75,F,Firearm,Other Crime,15,Yes,03-02-2022 13:00
16253,10-11-2021 17:00,11-08-2021 04:00,08-11-2021 05:17,Rajkot,448,ROBBERY,68,F,Poison,Violent Crime,3,Yes,13-01-2022 17:00
16254,08-11-2021 23:00,11-08-2021 05:00,09-11-2021 04:24,Kanpur,485,COUNTERFEITING,28,F,Explosives,Other Crime,17,Yes,05-12-2021 23:00
16258,09-11-2021 21:00,11-08-2021 09:00,09-11-2021 07:26,Mumbai,528,HOMICIDE,42,F,Explosives,Other Crime,8,Yes,16-04-2023 21:00
16259,10-11-2021 16:00,11-08-2021 10:00,08-11-2021 12:58,Bangalore,219,ROBBERY,11,F,Explosives,Violent Crime,1,Yes,31-03-2022 16:00
16260,08-11-2021 13:00,11-08-2021 11:00,09-11-2021 09:22,Delhi,511,DOMESTIC VIOLENCE,22,F,Blunt Object,Violent Crime,3,Yes,29-01-2022 13:00
16263,11-11-2021 03:00,11-08-2021 14:00,09-11-2021 07:55,Visakhapatnam,180,IDENTITY THEFT,38,F,Other,Violent Crime,2,Yes,24-01-2022 03:00
16264,08-11-2021 18:00,11-08-2021 15:00,09-11-2021 13:14,Meerut,567,HOMICIDE,20,M,Firearm,Other Crime,19,Yes,29-08-2022 18:00
16265,11-11-2021 08:00,11-08-2021 16:00,08-11-2021 16:22,Kolkata,385,EXTORTION,45,M,Poison,Other Crime,2,Yes,04-12-2021 08:00
16266,08-11-2021 20:00,11-08-2021 17:00,08-11-2021 18:09,Surat,305,COUNTERFEITING,16,F,Other,Other Crime,19,Yes,16-01-2022 20:00
16271,10-11-2021 08:00,11-08-2021 22:00,09-11-2021 11:51,Chennai,231,ASSAULT,13,M,Blunt Object,Violent Crime,5,Yes,01-02-2022 08:00
16273,10-11-2021 20:00,11-09-2021 00:00,09-11-2021 21:41,Delhi,401,ROBBERY,48,M,Other,Violent Crime,13,Yes,18-03-2022 20:00
16275,12-11-2021 01:00,11-09-2021 02:00,09-11-2021 07:12,Jaipur,218,HOMICIDE,73,M,Firearm,Other Crime,9,Yes,05-07-2023 01:00
16279,10-11-2021 19:00,11-09-2021 06:00,09-11-2021 19:44,Visakhapatnam,381,ROBBERY,35,F,Other,Violent Crime,11,Yes,31-12-2021 19:00
16284,11-11-2021 20:00,11-09-2021 11:00,10-11-2021 07:05,Agra,111,DRUG OFFENSE,54,M,Blunt Object,Other Crime,2,Yes,22-12-2021 20:00
16286,10-11-2021 23:00,11-09-2021 13:00,10-11-2021 02:53,Kanpur,128,VANDALISM,50,M,Firearm,Other Crime,10,Yes,30-12-2021 23:00
16288,09-11-2021 20:00,11-09-2021 15:00,10-11-2021 11:43,Delhi,336,ARSON,40,M,Blunt Object,Fire Accident,5,Yes,18-01-2022 20:00
16289,10-11-2021 04:00,11-09-2021 16:00,09-11-2021 19:43,Indore,229,DOMESTIC VIOLENCE,62,F,Poison,Violent Crime,5,Yes,17-01-2022 04:00
16290,12-11-2021 02:00,11-09-2021 17:00,10-11-2021 08:38,Visakhapatnam,479,ASSAULT,40,M,Firearm,Violent Crime,15,Yes,13-01-2022 02:00
16291,10-11-2021 21:00,11-09-2021 18:00,10-11-2021 07:57,Varanasi,333,ARSON,23,M,Blunt Object,Fire Accident,17,Yes,28-11-2021 21:00
16292,12-11-2021 16:00,11-09-2021 19:00,10-11-2021 14:09,Delhi,464,VANDALISM,75,M,Poison,Other Crime,2,Yes,19-12-2021 16:00
16293,10-11-2021 16:00,11-09-2021 20:00,10-11-2021 17:55,Bangalore,424,TRAFFIC VIOLATION,67,F,Blunt Object,Traffic Fatality,16,Yes,06-12-2021 16:00
16294,10-11-2021 08:00,11-09-2021 21:00,10-11-2021 19:37,Meerut,349,ROBBERY,12,F,Firearm,Violent Crime,15,Yes,14-01-2022 08:00
16295,12-11-2021 11:00,11-09-2021 22:00,10-11-2021 04:27,Ahmedabad,212,ASSAULT,19,M,Explosives,Violent Crime,8,Yes,27-01-2022 11:00
16297,12-11-2021 23:00,11-10-2021 00:00,10-11-2021 21:04,Varanasi,365,IDENTITY THEFT,13,F,Firearm,Violent Crime,1,Yes,02-01-2022 23:00
16298,10-11-2021 18:00,11-10-2021 01:00,10-11-2021 01:03,Jaipur,175,ARSON,71,F,Blunt Object,Fire Accident,1,Yes,28-01-2022 18:00
16299,12-11-2021 14:00,11-10-2021 02:00,10-11-2021 08:14,Mumbai,182,SEXUAL ASSAULT,25,F,Explosives,Violent Crime,17,Yes,15-05-2022 14:00
16302,10-11-2021 08:00,11-10-2021 05:00,10-11-2021 16:31,Thane,390,CYBERCRIME,10,F,Blunt Object,Other Crime,18,Yes,02-12-2021 08:00
16304,12-11-2021 23:00,11-10-2021 07:00,10-11-2021 19:17,Jaipur,184,PUBLIC INTOXICATION,34,M,Poison,Other Crime,9,Yes,04-12-2021 23:00
16307,12-11-2021 06:00,11-10-2021 10:00,10-11-2021 15:57,Bangalore,396,HOMICIDE,15,F,Firearm,Other Crime,15,Yes,03-08-2023 06:00
16309,11-11-2021 07:00,11-10-2021 12:00,11-11-2021 01:55,Ahmedabad,116,EXTORTION,34,F,Other,Other Crime,6,Yes,06-02-2022 07:00
16311,12-11-2021 12:00,11-10-2021 14:00,10-11-2021 19:03,Delhi,351,FIREARM OFFENSE,34,M,Other,Fire Accident,9,Yes,12-01-2022 12:00
16312,11-11-2021 12:00,11-10-2021 15:00,10-11-2021 18:41,Bangalore,510,DRUG OFFENSE,69,F,Poison,Other Crime,10,Yes,06-12-2021 12:00
16314,11-11-2021 00:00,11-10-2021 17:00,11-11-2021 01:33,Lucknow,523,ROBBERY,79,F,Firearm,Violent Crime,5,Yes,02-01-2022 00:00
16319,12-11-2021 23:00,11-10-2021 22:00,11-11-2021 10:35,Bhopal,574,DRUG OFFENSE,13,M,Knife,Other Crime,17,Yes,23-12-2021 23:00
16320,12-11-2021 13:00,11-10-2021 23:00,11-11-2021 03:52,Jaipur,400,COUNTERFEITING,68,F,Firearm,Other Crime,13,Yes,24-01-2022 13:00
16324,12-11-2021 02:00,11-11-2021 03:00,11-11-2021 20:04,Pune,400,VANDALISM,13,F,Firearm,Other Crime,3,Yes,09-12-2021 02:00
16325,14-11-2021 02:00,11-11-2021 04:00,11-11-2021 15:41,Bangalore,528,FRAUD,79,M,Other,Other Crime,1,Yes,08-02-2022 02:00
16326,12-11-2021 22:00,11-11-2021 05:00,12-11-2021 04:27,Ghaziabad,150,BURGLARY,26,F,Blunt Object,Other Crime,1,Yes,27-03-2022 22:00
16327,11-11-2021 11:00,11-11-2021 06:00,11-11-2021 17:29,Bangalore,404,CYBERCRIME,73,M,Blunt Object,Other Crime,3,Yes,30-11-2021 11:00
16329,13-11-2021 10:00,11-11-2021 08:00,11-11-2021 18:41,Ahmedabad,338,SHOPLIFTING,22,M,Explosives,Other Crime,19,Yes,11-01-2022 10:00
16334,14-11-2021 03:00,11-11-2021 13:00,11-11-2021 15:17,Surat,456,CYBERCRIME,36,F,Blunt Object,Other Crime,18,Yes,30-11-2021 03:00
16336,12-11-2021 02:00,11-11-2021 15:00,12-11-2021 13:54,Hyderabad,420,SHOPLIFTING,29,F,Explosives,Other Crime,6,Yes,18-12-2021 02:00
16337,13-11-2021 19:00,11-11-2021 16:00,12-11-2021 02:08,Chennai,303,HOMICIDE,32,F,Explosives,Other Crime,16,Yes,10-10-2022 19:00
16338,14-11-2021 03:00,11-11-2021 17:00,12-11-2021 14:32,Delhi,560,IDENTITY THEFT,22,M,Poison,Violent Crime,4,Yes,01-02-2022 03:00
16339,12-11-2021 22:00,11-11-2021 18:00,11-11-2021 21:26,Mumbai,293,ASSAULT,52,F,Poison,Violent Crime,15,Yes,06-02-2022 22:00
16340,13-11-2021 08:00,11-11-2021 19:00,12-11-2021 17:34,Delhi,570,IDENTITY THEFT,57,F,Other,Violent Crime,18,Yes,25-01-2022 08:00
16342,14-11-2021 18:00,11-11-2021 21:00,12-11-2021 13:21,Patna,422,VEHICLE - STOLEN,15,F,Firearm,Violent Crime,19,Yes,01-12-2021 18:00
16344,12-11-2021 12:00,11-11-2021 23:00,12-11-2021 08:44,Kolkata,138,CYBERCRIME,47,F,Explosives,Other Crime,2,Yes,31-12-2021 12:00
16345,14-11-2021 13:00,11-12-2021 00:00,12-11-2021 02:20,Kolkata,535,COUNTERFEITING,24,F,Knife,Other Crime,9,Yes,03-02-2022 13:00
16346,12-11-2021 16:00,11-12-2021 01:00,12-11-2021 12:06,Hyderabad,363,ASSAULT,64,F,Firearm,Violent Crime,18,Yes,17-12-2021 16:00
16349,12-11-2021 16:00,11-12-2021 04:00,12-11-2021 06:22,Surat,593,VANDALISM,76,F,Explosives,Other Crime,2,Yes,28-11-2021 16:00
16351,12-11-2021 09:00,11-12-2021 06:00,12-11-2021 21:21,Delhi,441,DRUG OFFENSE,27,F,Blunt Object,Other Crime,16,Yes,20-12-2021 09:00
16352,14-11-2021 00:00,11-12-2021 07:00,12-11-2021 15:12,Chennai,221,KIDNAPPING,72,M,Poison,Other Crime,15,Yes,01-02-2022 00:00
16353,12-11-2021 09:00,11-12-2021 08:00,12-11-2021 14:51,Chennai,458,CYBERCRIME,76,M,Explosives,Other Crime,5,Yes,28-01-2022 09:00
16358,15-11-2021 04:00,11-12-2021 13:00,13-11-2021 11:03,Kolkata,167,SEXUAL ASSAULT,57,F,Explosives,Violent Crime,9,Yes,19-09-2023 04:00
16359,13-11-2021 01:00,11-12-2021 14:00,12-11-2021 23:13,Faridabad,568,PUBLIC INTOXICATION,72,M,Knife,Other Crime,13,Yes,09-12-2021 01:00
16361,14-11-2021 15:00,11-12-2021 16:00,12-11-2021 18:18,Srinagar,485,DRUG OFFENSE,34,F,Explosives,Other Crime,5,Yes,01-01-2022 15:00
16364,13-11-2021 07:00,11-12-2021 19:00,13-11-2021 14:44,Delhi,581,EXTORTION,15,F,Knife,Other Crime,7,Yes,10-12-2021 07:00
16366,14-11-2021 01:00,11-12-2021 21:00,13-11-2021 13:53,Nagpur,121,DOMESTIC VIOLENCE,34,F,Other,Violent Crime,5,Yes,13-12-2021 01:00
16369,13-11-2021 11:00,11-13-2021 00:00,13-11-2021 18:33,Hyderabad,288,IDENTITY THEFT,47,F,Blunt Object,Violent Crime,13,Yes,24-12-2021 11:00
16370,13-11-2021 09:00,11-13-2021 01:00,13-11-2021 01:40,Delhi,569,SHOPLIFTING,14,M,Other,Other Crime,14,Yes,01-12-2021 09:00
16371,14-11-2021 21:00,11-13-2021 02:00,13-11-2021 10:03,Mumbai,468,ROBBERY,11,F,Other,Violent Crime,13,Yes,17-04-2022 21:00
16374,13-11-2021 13:00,11-13-2021 05:00,13-11-2021 19:10,Bangalore,202,BURGLARY,35,F,Explosives,Other Crime,6,Yes,22-04-2022 13:00
16377,15-11-2021 23:00,11-13-2021 08:00,14-11-2021 07:48,Bangalore,221,CYBERCRIME,55,M,Firearm,Other Crime,8,Yes,26-01-2022 23:00
16378,14-11-2021 22:00,11-13-2021 09:00,13-11-2021 10:04,Nagpur,143,ARSON,46,M,Firearm,Fire Accident,11,Yes,28-12-2021 22:00
16380,15-11-2021 04:00,11-13-2021 11:00,14-11-2021 03:46,Ghaziabad,471,BURGLARY,30,F,Other,Other Crime,14,Yes,02-05-2022 04:00
16385,15-11-2021 04:00,11-13-2021 16:00,14-11-2021 13:17,Kanpur,299,BURGLARY,28,M,Knife,Other Crime,14,Yes,26-03-2022 04:00
16387,16-11-2021 13:00,11-13-2021 18:00,14-11-2021 08:25,Delhi,391,VEHICLE - STOLEN,75,F,Firearm,Violent Crime,18,Yes,25-01-2022 13:00
16388,15-11-2021 15:00,11-13-2021 19:00,14-11-2021 06:09,Delhi,123,EXTORTION,11,M,Blunt Object,Other Crime,2,Yes,30-01-2022 15:00
16390,16-11-2021 07:00,11-13-2021 21:00,14-11-2021 17:32,Ahmedabad,462,DOMESTIC VIOLENCE,36,F,Poison,Violent Crime,1,Yes,01-01-2022 07:00
16393,14-11-2021 19:00,11-14-2021 00:00,14-11-2021 11:23,Kanpur,357,DOMESTIC VIOLENCE,18,M,Knife,Violent Crime,5,Yes,10-01-2022 19:00
16398,15-11-2021 18:00,11-14-2021 05:00,14-11-2021 20:32,Delhi,502,EXTORTION,10,M,Knife,Other Crime,15,Yes,19-01-2022 18:00
16403,15-11-2021 08:00,11-14-2021 10:00,14-11-2021 10:23,Mumbai,576,SHOPLIFTING,39,M,Poison,Other Crime,8,Yes,07-01-2022 08:00
16420,17-11-2021 00:00,11-15-2021 03:00,15-11-2021 22:52,Surat,105,DRUG OFFENSE,74,F,Poison,Other Crime,17,Yes,01-02-2022 00:00
16421,17-11-2021 05:00,11-15-2021 04:00,15-11-2021 15:32,Delhi,509,BURGLARY,45,F,Blunt Object,Other Crime,3,Yes,22-12-2021 05:00
16424,18-11-2021 00:00,11-15-2021 07:00,15-11-2021 22:58,Kolkata,194,FRAUD,61,M,Other,Other Crime,16,Yes,18-12-2021 00:00
16425,15-11-2021 17:00,11-15-2021 08:00,15-11-2021 08:16,Lucknow,324,FIREARM OFFENSE,67,F,Firearm,Fire Accident,11,Yes,24-01-2022 17:00
16426,17-11-2021 00:00,11-15-2021 09:00,16-11-2021 03:11,Rajkot,511,HOMICIDE,50,F,Explosives,Other Crime,14,Yes,26-09-2023 00:00
16428,18-11-2021 07:00,11-15-2021 11:00,15-11-2021 17:55,Ahmedabad,331,TRAFFIC VIOLATION,76,F,Knife,Traffic Fatality,2,Yes,11-12-2021 07:00
16431,18-11-2021 01:00,11-15-2021 14:00,16-11-2021 10:40,Nagpur,206,DRUG OFFENSE,73,M,Firearm,Other Crime,19,Yes,17-12-2021 01:00
16432,16-11-2021 07:00,11-15-2021 15:00,15-11-2021 16:44,Lucknow,254,FRAUD,62,M,Other,Other Crime,6,Yes,02-12-2021 07:00
16433,17-11-2021 14:00,11-15-2021 16:00,16-11-2021 13:12,Rajkot,364,SEXUAL ASSAULT,41,M,Explosives,Violent Crime,6,Yes,14-08-2022 14:00
16435,16-11-2021 01:00,11-15-2021 18:00,16-11-2021 14:25,Kolkata,472,FRAUD,63,F,Explosives,Other Crime,13,Yes,07-01-2022 01:00
16437,18-11-2021 16:00,11-15-2021 20:00,16-11-2021 17:18,Pune,237,KIDNAPPING,32,M,Firearm,Other Crime,9,Yes,11-01-2022 16:00
16441,16-11-2021 03:00,11-16-2021 00:00,16-11-2021 01:22,Kolkata,586,CYBERCRIME,49,F,Explosives,Other Crime,6,Yes,06-12-2021 03:00
16442,18-11-2021 08:00,11-16-2021 01:00,16-11-2021 09:18,Kolkata,427,DOMESTIC VIOLENCE,59,F,Blunt Object,Violent Crime,13,Yes,11-02-2022 08:00
16445,16-11-2021 17:00,11-16-2021 04:00,17-11-2021 00:59,Delhi,381,SEXUAL ASSAULT,35,F,Knife,Violent Crime,6,Yes,22-04-2023 17:00
16446,18-11-2021 09:00,11-16-2021 05:00,17-11-2021 01:17,Mumbai,248,TRAFFIC VIOLATION,58,F,Blunt Object,Traffic Fatality,16,Yes,20-11-2021 09:00
16447,18-11-2021 23:00,11-16-2021 06:00,16-11-2021 18:31,Mumbai,558,ROBBERY,21,F,Explosives,Violent Crime,7,Yes,29-01-2022 23:00
16448,18-11-2021 21:00,11-16-2021 07:00,16-11-2021 11:20,Faridabad,274,KIDNAPPING,25,M,Knife,Other Crime,9,Yes,28-11-2021 21:00
16450,16-11-2021 18:00,11-16-2021 09:00,17-11-2021 04:19,Kolkata,500,SEXUAL ASSAULT,30,M,Explosives,Violent Crime,3,Yes,22-08-2022 18:00
16451,18-11-2021 13:00,11-16-2021 10:00,16-11-2021 15:37,Ahmedabad,493,ARSON,20,F,Blunt Object,Fire Accident,7,Yes,08-02-2022 13:00
16454,18-11-2021 16:00,11-16-2021 13:00,17-11-2021 02:32,Delhi,452,PUBLIC INTOXICATION,49,F,Knife,Other Crime,2,Yes,17-12-2021 16:00
16456,18-11-2021 10:00,11-16-2021 15:00,17-11-2021 04:31,Mumbai,114,ARSON,22,M,Firearm,Fire Accident,1,Yes,01-12-2021 10:00
16457,19-11-2021 14:00,11-16-2021 16:00,17-11-2021 13:40,Chennai,555,SEXUAL ASSAULT,46,F,Poison,Violent Crime,18,Yes,05-02-2023 14:00
16458,18-11-2021 04:00,11-16-2021 17:00,17-11-2021 13:02,Delhi,458,ASSAULT,58,F,Poison,Violent Crime,16,Yes,16-01-2022 04:00
16459,18-11-2021 05:00,11-16-2021 18:00,17-11-2021 17:56,Jaipur,440,BURGLARY,55,F,Firearm,Other Crime,1,Yes,11-04-2022 05:00
16460,19-11-2021 06:00,11-16-2021 19:00,17-11-2021 06:07,Delhi,181,DOMESTIC VIOLENCE,46,M,Other,Violent Crime,15,Yes,29-11-2021 06:00
16465,19-11-2021 09:00,11-17-2021 00:00,17-11-2021 23:12,Hyderabad,457,DRUG OFFENSE,18,M,Poison,Other Crime,3,Yes,08-02-2022 09:00
16470,20-11-2021 00:00,11-17-2021 05:00,17-11-2021 19:01,Pune,306,ILLEGAL POSSESSION,46,X,Blunt Object,Other Crime,16,Yes,11-02-2022 00:00
16471,17-11-2021 14:00,11-17-2021 06:00,17-11-2021 11:04,Vasai,501,SEXUAL ASSAULT,73,X,Explosives,Violent Crime,17,Yes,13-06-2022 14:00
16472,19-11-2021 20:00,11-17-2021 07:00,17-11-2021 10:55,Bangalore,330,KIDNAPPING,76,M,Other,Other Crime,12,Yes,05-12-2021 20:00
